jira_date,jira_id,jira_policy,jira_offender,jira_status
05-28-2024,https://jira.uberinternal.com/browse/DACT-6547821,Account sharing,DP,Rejected
05-28-2024,https://jira.uberinternal.com/browse/DACT-6547822,Account sharing,Driver,NAN
05-28-2024,https://jira.uberinternal.com/browse/DACT-6547823,IPC,Driver,NAN
05-28-2024,https://jira.uberinternal.com/browse/DACT-6547824,IPC,Driver,Rejected
05-28-2024,https://jira.uberinternal.com/browse/DACT-6547825,Dangerous driving,Driver,NAN
05-28-2024,https://jira.uberinternal.com/browse/DACT-6547826,Dangerous driving,Driver,Rejected
05-28-2024,https://jira.uberinternal.com/browse/DACT-6547827,Account sharing,Eater,Escalated
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547828,Account sharing,DP,Rejected
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547829,IPC,Driver,Rejected
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547830,IPC,Driver,NAN
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547831,IPC,Driver,Rejected
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547832,Dangerous driving,Driver,Rejected
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547833,IPC,Driver,NAN
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547834,Account sharing,DP,Rejected
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547835,Account sharing,DP,Rejected
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547836,Account sharing,DP,Rejected
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547837,IPC,Rider,NAN
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547838,IPC,Driver,NAN
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547839,Account sharing,DP,Rejected
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547840,Account sharing,DP,Rejected
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547841,Account sharing,DP,Rejected
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547842,Account sharing,DP,Rejected
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547843,IPC,Driver,NAN
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547844,Account sharing,DP,NAN
05-29-2024,https://jira.uberinternal.com/browse/DACT-6547845,Account sharing,DP,NAN
05-30-2024,https://jira.uberinternal.com/browse/DACT-6547846,IPC,Driver,NAN
05-30-2024,https://jira.uberinternal.com/browse/DACT-6547847,Account sharing,DP,Rejected
